title,record_id,type_of_reference,authors,secondary_title,abstract,year,doi,volume,commu_AB,commu_RP,indiv_AB,indiv_RP,letha_ER,letha_ES,letha_NN,letha_RP,molec_AH,molec_AJ,molec_EA,popul_CB,popul_RP,subin_RP,subin_RT,asreview_prior,exported_notes_1,included,asreview_ranking
Contrasting effects of Imidacloprid on habituation in 7- and 8-day-old honeybees (Apis mellifera),1022,JOUR,"['Guez, D.', 'Suchail, S.', 'Gauthier, M.', 'Maleszka, R.', 'Belzunces, L.P.']",Neurobiology of Learning and Memory,"We examined the effects of sublethal doses (0.1, 1, and 10 ng per animal) of a new neonicotinoid insecticide, Imidacloprid, on habituation of the proboscis extension reflex (PER) in honeybees (Apis mellifera) reared under laboratory conditions. In untreated honeybees, the habituation of the proboscis extension reflex is age-dependent and there is a significant increase in the number of trials required for habituation in older bees (8-10 days old) as compared to very young bees (4-7 days old). Imidacloprid alters the number of trials needed to habituate the honeybee response to multiple sucrose stimulation. In 7-day-old bees, treatment with Imidacloprid leads to an increase in the number of trials necessary to abolish the response, whereas in 8-day-old bees, it leads to a reduction in the number of trials for habituation (15 min and 1 h after treatment), and to an increase 4 h after treatment. The temporal effects of Imidacloprid in both 7- and 8-day-old bees suggest that 4 h after treatment the observed effects are due to a metabolite of Imidacloprid, rather than to Imidacloprid itself. Our results suggest the existence of two distinct subtypes of nicotinic receptors in the honeybee that have different affinities to Imidacloprid and are differentially expressed in 7- and 8-day-old individuals. © 2001 Academic Press.",2001,10.1006/nlme.2000.3995,76,,0,,1.0,0.0,,,,,0.0,0.0,,,0.0,,,,,
Correlation Between Increased Homing Flight Duration and Altered Gene Expression in the Brain of Honey Bee Foragers After Acute Oral Exposure to Thiacloprid and Thiamethoxam,670,JOUR,"['Christen, V.', 'Grossar, D.', 'Charrière, J.-D.', 'Eyer, M.', 'Jeker, L.']",Frontiers in Insect Science,"Neonicotinoids as thiamethoxam and thiacloprid are suspected to be implicated in the decline of honey bee populations. As nicotinic acetylcholine receptor agonists, they disturb acetylcholine receptor signaling in insects, leading to neurotoxicity and are therefore globally used as insecticides. Several behavioral studies have shown links between neonicotinoid exposure of bees and adverse effects on foraging activity, homing flight performance and reproduction, but the molecular aspects underlying these effects are not well-understood. In the last years, several studies through us and others showed the effects of exposure to neonicotinoids on gene expression in the brain of honey bees. Transcripts of acetylcholine receptors, hormonal regulation, stress markers, detoxification enzymes, immune system related genes and transcripts of the energy metabolism were altered after neonicotinoid exposure. To elucidate the link between homing flight performance and shifts in gene expression in the brain of honey bees after neonicotinoid exposure, we combined homing flight activity experiments applying RFID technology and gene expression analysis. We analyzed the expression of endocrine factors, stress genes, detoxification enzymes and genes linked to energy metabolism in forager bees after homing flight experiments. Three different experiments (experiment I: pilot study; experiment II: “worst-case” study and experiment III: laboratory study) were performed. In a pilot study, we wanted to investigate if we could see differences in gene expression between controls and exposed bees (experiment I). This first study was followed by a so-called “worst-case” study (experiment II), where we investigated mainly differences in the expression of transcripts linked to energy metabolism between fast and slow returning foragers. We found a correlation between homing flight duration and the expression of cytochrome c oxidase subunit 5A, one transcript linked to oxidative phosphorylation. In the third experiment (experiment III), foragers were exposed in the laboratory to 1 ng/bee thiamethoxam and 8 ng/bee thiacloprid followed by gene expression analysis without a subsequent flight experiment. We could partially confirm the induction of cytochrome c oxidase subunit 5A, which we detected in experiment II. In addition, we analyzed the effect of the feeding mode (group feeding vs. single bee feeding) on data scattering and demonstrated that single bee feeding is superior to group feeding as it significantly reduces variability in gene expression. Based on the data, we thus hypothesize that the disruption of energy metabolism may be one reason for a prolongation of homing flight duration in neonicotinoid treated bees. Copyright © 2021 Christen, Grossar, Charrière, Eyer and Jeker.",2021,10.3389/finsc.2021.765570,1,,0,0.0,1.0,,0.0,,,1.0,1.0,1.0,,0.0,,,,,,
Country-specific effects of neonicotinoid pesticides on honey bees and wild bees,877,JOUR,"['Woodcock, B.A.', 'Bullock, J.M.', 'Shore, R.F.', 'Heard, M.S.', 'Pereira, M.G.', 'Redhead, J.', 'Ridding, L.', 'Dean, H.', 'Sleep, D.', 'Henrys, P.', 'Peyton, J.', 'Hulmes, S.', 'Hulmes, L.', 'Sárospataki, M.', 'Saure, C.', 'Edwards, M.', 'Genersch, E.', 'Knäbe, S.', 'Pywell, R.F.']",Science,"Neonicotinoid seed dressings have caused concern world-wide. We use large field experiments to assess the effects of neonicotinoid-treated crops on three bee species across three countries (Hungary, Germany, and the United Kingdom). Winter-sown oilseed rape was grown commercially with either seed coatings containing neonicotinoids (clothianidin or thiamethoxam) or no seed treatment (control). For honey bees, we found both negative (Hungary and United Kingdom) and positive (Germany) effects during crop flowering. In Hungary, negative effects on honey bees (associated with clothianidin) persisted over winter and resulted in smaller colonies in the following spring (24% declines). In wild bees (Bombus terrestris and Osmia bicornis), reproduction was negatively correlated with neonicotinoid residues. These findings point to neonicotinoids causing a reduced capacity of bee species to establish new populations in the year following exposure. © 2017, American Association for the Advancement of Science. All Rights Reserved.",2017,10.1126/science.aaa1190,356,1.0,1,0.0,0.0,,0.0,0.0,,,,,1.0,1.0,,,,,,
Cytotoxic effects of thiamethoxam in the midgut and malpighian tubules of Africanized Apis mellifera (Hymenoptera: Apidae),967,JOUR,"['Catae, A.F.', 'Roat, T.C.', 'De Oliveira, R.A.', 'Ferreira Nocelli, R.C.', 'Malaspina, O.']",Microscopy Research and Technique,"Due to its expansion, agriculture has become increasingly dependent on the use of pesticides. However, the indiscriminate use of insecticides has had additional effects on the environment. These products have a broad spectrum of action, and therefore the insecticide affects not only the pests but also non-target insects such as bees, which are important pollinators of agricultural crops and natural environments. Among the most used pesticides, the neonicotinoids are particularly harmful. One of the neonicotinoids of specific concern is thiamethoxam, which is used on a wide variety of crops and is toxic to bees. Thus, this study aimed to analyze the effects of this insecticide in the midgut and Malpighian tubule cells of Africanized Apis mellifera. Newly emerged workers were exposed until 8 days to a diet containing a sublethal dose of thiamethoxam equal to 1/10 of LC50 (0.0428 ng a.i./l L of diet). The bees were dissected and the organs were processed for transmission electron microscopy. The results showed that thiamethoxam is cytotoxic to midgut and Malpighian tubules. In the midgut, the damage was more evident in bees exposed to the insecticide on the first day. On the eighth day, the cells were ultrastructurally intact suggesting a recovery of this organ. The Malpighian tubules showed pronounced alterations on the eighth day of exposure of bees to the insecticide. This study demonstrates that the continuous exposure to a sublethal dose of thiamethoxam can impair organs that are used during the metabolism of the insecticide. © 2014 Wiley Periodicals, Inc.",2014,10.1002/jemt.22339,77,,0,0.0,,,,0.0,,,0.0,0.0,,0.0,1.0,1.0,,,,
Decreased efficiency of pollen collection due to Sulfoxaflor exposure leads to a reduction in the size of bumble bee workers in late European summer,550,JOUR,"['Boff, S.', 'Keller, A.', 'Raizer, J.', 'Lupi, D.']",Frontiers in Ecology and Evolution,"Bumble bees (Bombus terrestris) are important pollinators of wild and crop plants. Despite their importance in the process of fruit and seed production on crop sites, their activity may be impaired due to exposure to pesticides. This species has a yearly life cycle and colony success may rely on effective foraging of workers on ruderal plants late in summer when most crops are no longer flowering. In the current study, we investigated the effect of chronic exposure to Sulfoxaflor on aspects of the foraging behavior of bumble bees and whether Sulfoxaflor influences the body size of workers of B. terrestris in a crop landscape. We found that 2 weeks of continuous exposure to Sulfoxaflor influenced workers’ foraging dynamics and collection of resources. However, there was no evidence that the 5 ppb dose of the pesticide impacted the ability of bees to handle flowers with different traits. Workers from colonies exposed to Sulfoxaflor were smaller. The effect on worker size may be explained as a consequence of the reduced pollen income per unit of worker foraging. Thus, if the effects of Sulfoxaflor applied directly to crops had the same effect as that observed on commercial bumble bees after our chronic exposure, it might negatively impact colony success due to the impact on pollen collection and the reduction in the size of workers. Copyright © 2022 Boff, Keller, Raizer and Lupi.",2022,10.3389/fevo.2022.842563,10,,0,1.0,,0.0,0.0,,,,,,,0.0,0.0,,,,,
Delayed effects of a single dose of a neurotoxic pesticide (sulfoxaflor) on honeybee foraging activity,584,JOUR,"['Barascou, L.', 'Requier, F.', 'Sené, D.', 'Crauser, D.', 'Le Conte, Y.', 'Alaux, C.']",Science of the Total Environment,"Pesticide risk-assessment guidelines for honeybees (Apis mellifera) generally require determining the acute toxicity of a chemical over the short-term through fix-duration tests. However, potential long-lasting or delayed effects resulting from an acute exposure (e.g. a single dose) are often overlooked, although the modification of a developmental process may have life-long consequences. To investigate this question, we exposed young honeybee workers to a single sublethal field-realistic dose of a neurotoxic pesticide, sulfoxaflor, at one of two amounts (16 or 60 ng), at the moment when they initiated orientation flights (preceding foraging activity). We then tracked in the field their flight activity and lifespan with automated life-long monitoring devices. Both amounts of sulfoxaflor administered reduced the total number of flights but did not affect bee survival and flight duration. When looking at the time series of flight activity, effects were not immediate but delayed until foraging activity with a decrease in the daily number of foraging flights and consequently in their total number (24 and 33% less for the 16 and 60 ng doses, respectively). The results of our study therefore blur the general assumption in honeybee toxicology that acute exposure results in immediate and rapid effects and call for long-term recording and/or time-to-effect measurements, even upon exposure to a single dose of pesticide. © 2021",2022,10.1016/j.scitotenv.2021.150351,805,,0,1.0,1.0,,0.0,,,,,,,0.0,0.0,,,,,
Design and structure optimization of novel butenolide derivatives as low bee-toxicity candidates,2,JOUR,"['Zhu, K.', 'Lu, X.', 'Li, X.', 'Han, Q.', 'Zou, R.', 'Yang, Z.', 'Li, H.', 'Duan, H.']",Journal of Molecular Structure,"The discovery of new neonicotinoid alternatives with high efficiency against pests and eco-safety toward bees has become an increasingly urgent need in recent years. The relationship between the oil-water partition coefficient (logP) and the bee-toxicity of commercial nicotinic acetylcholine receptor (nAChR) competitive modulators was explored in this work. Compared compounds with a high bee-toxicity, compounds with low bee-toxicity were found to have higher logP values. Therefore, two series of novel butenolide derivatives with different hydrophobic groups were designed and synthesized by including different hydrophobic groups. The insecticidal activity study showed that compounds I-01 (LC50=112.96 μg/mL), II-05 (LC50=124.68 μg/mL), and II-11 (LC50=87.89 μg/mL) were with higher insecticidal activity against Aphis glycines and lower calculated logP values among all synthesized compounds. Molecular dynamics simulations indicated that three butenolide compounds formed some hydrogen bonding or π-π stacking interactions with insect acetylcholine binding protein (AChBP). In addition, the bee-toxicity bioassay also showed that compounds I-01, II-05 and II-11 were with much lower contact bee-toxicity than imidacloprid. The possible mechanism of the bee toxicity of the novel butenolide compounds was explored based on the nAChR function subunit AmeIα8/ratβ2. This study will provide rational guidance on novel butenolide compounds as low-bee-toxicity candidates based on their molecular hydrophobic properties. © 2023",2023,10.1016/j.molstruc.2023.135257,1282,,0,,0.0,1.0,,1.0,,,1.0,1.0,,,,,,,,
Design of environmentally friendly neonicotinoid insecticides with bioconcentration tuning and Bi-directional selective toxic effects,381,JOUR,"['Zhao, YY', 'Li, Y']",JOURNAL OF CLEANER PRODUCTION,"A 3D-QSAR model was established with CoMSIA to characterize neonicotinoid insecticides. LgBCF values were used as the dependent variable and the molecular structures of 30 compounds were used as the independent variable. This model was used to design neonicotinoid insecticides with reduced bioconcentration. The contour maps from the 3D-QSAR model were used to evaluate substituted sites and different substituents that significantly affected the bioconcentration of neonicotinoid insecticides. The CoMSIA model showed that neonicotinoid insecticide bioconcentration was strongly affected by steric, electrostatic, hydrophobic and hydrogen bond acceptor fields. Using compound 20 as a template, 105 new substituted derivatives with lower bioconcentrations (reduced by 21.34-77.21%) were designed. The toxicities of these derivatives were evaluated, which showed that 100 of the derivatives retained the original toxicity (increased by 0.10-5.67%). Next, a 2D-QSAR model showed that the decreased bioconcentration of the new neonicotinoid insecticides was mainly caused by the total energy and dipole moment. Homology modeling was used to obtain the genetic recombination AChR in sucking-type pests (i.e. aphid, leafhopper, thrips, and Bemisia tabaci) and bees (i.e. Apis mellifera ligustica and Apis cerana). The neonicotinoid insecticides before and after modification were docked with AChRs to complete the screening of derivatives with bi-directional selective toxic effects. LibDock scores showed that Derivative-5, Derivative-18, Derivative-31, and Derivative-65 had bi-directional selective effects on pests and bees. The effects of the Derivative-18 were the most significant, with toxicity increasing by 14.66% in pests and decreasing by 19.42% in bees. We determined via analysis of amino acid residues that Derivative-18 had more hydrophobic amino acids interacting with pest AChRs, and the mode of action was predominantly hydrogen bonding. Conversely, Derivative-18 had fewer hydrophobic amino acids interacting with bee AChRs, and the mode of action there was more reliant on van der Waals forces with weak binding power. (C) 2019 Elsevier Ltd. All rights reserved.",2019,10.1016/j.jclepro.2019.02.156,221,,0,0.0,,0.0,,0.0,,,1.0,1.0,,0.0,,,,,,
"Design, Synthesis and Bioactivity of Novel Low Bee-Toxicity Compounds Based on Flupyrimin",244,JOUR,"['Lu, X.', 'Xu, H.', 'Zhang, X.', 'Sun, T.', 'Lin, Y.', 'Zhang, Y.', 'Li, H.', 'Li, X.', 'Yang, X.', 'Duan, H.', 'Ling, Y.']",Molecules,"Neonicotinoids are important insecticides for controlling aphids in agriculture. Growing research suggested that neonicotinoid insecticides are a key factor causing the decline of global pollinator insects, such as bees. Flupyrimin (FLP) is a novel nicotinic insecticide with unique biological properties and no cross-resistance, and is safe for pollinators. Using FLP as the lead compound, a series of novel compounds were designed and synthesized by replacing the amide fragment with a sulfonamideone. Their structures were confirmed by 1H NMR, 13C NMR and HRMS spectra. Bioassay results showed that compound 2j had good insecticidal activity against Aphis glycines with an LC50 value of 20.93 mg/L. Meanwhile, compound 2j showed significantly lower acute oral and contact toxicity to Apis mellifera. In addition, compound 2j interacted well with the protein in insect acetylcholine binding protein (AChBP). The molecular docking on honeybee nicotinic acetylcholine receptor (nAChR) indicated that the sulfonamide group of compound 2j did not form a hydrogen bond with Arg173 of the β subunit, which conforms to the reported low bee-toxicity conformation. In general, target compound 2j can be regarded as a bee-friendly insecticide candidate. © 2022 by the authors.",2022,10.3390/molecules27186133,27,,0,0.0,0.0,1.0,,1.0,,,1.0,1.0,,0.0,,,,,,
"Design, Synthesis, and Synergistic Activity of Eight-Membered Oxabridge Neonicotinoid Analogues",305,JOUR,"['Zhang, X', 'Wang, YP', 'Xu, ZP', 'Shao, XS', 'Liu, ZW', 'Xu, XY', 'Maienfisch, P', 'Li, Z']",JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,"Insecticide synergists are sought-after due to their potential in improving the pesticide control efficacy with a reduced dose of an active ingredient. We previously reported that a cis-configuration neonicotinoid (IPPA08) exhibited specific synergistic activity toward neonicotinoid insecticides. In this study, we synthesized a series of structural analogues of IPPA08 by converting the pyridyl moiety of IPPA08 into phenyl groups, via facile double-Mannich condensation reactions between nitromethylene compounds and glutaraldehyde. All of the oxabridged neonicotinoid compounds were found to increase the toxicity of imidacloprid against Aphis craccivora. Notably, compound 25 at 0.75 mg/L lowered the LC50 value of imidacloprid against A. craccivora by 6.54-fold, while a 3.50-fold reduction of the LC50 value was observed for IPPA08. The results of bee toxicity test showed that compound 25 display selectivity in its effects on imidacloprid toxicity against the honey bee (Apis mellifera L.). In summary, replacing the pyridyl ring with a phenyl ring was a viable approach to obtain a novel synergist with oxabridged moiety for neonicotinoid insecticides.",2021,10.1021/acs.jafc.0c04786,69,,0,0.0,,1.0,,0.0,,,0.0,1.0,,0.0,,,,,,
"Design, synthesis, and insecticidal activity of novel 1-alkoxy-2-nitroguanidines",519,JOUR,"['Yang, DY', 'Wan, C', 'Xiao, YM', 'Che, CL', 'Rui, CH', 'Qin, ZH']",RSC ADVANCES,"In searching for new insecticidal lead compounds, a series of novel 1-alkoxy-2-nitroguanidine, guadipyr analogues bearing alkoxy groups were designed, synthesized and confirmed by H-1 NMR, C-13 NMR, highresolution mass spectrometry and X-ray diffraction. The primary bioassays showed that most of these compounds exhibited moderate to good insecticidal activity against Myzus persicae and Aphis gossypii. Especially, the precise insecticidal assay showed that compounds 4-02, 4-07 and 4-08 displayed excellent in vitro activity with IC50 values lower than 10 mg mL(-1) to M. persicae which is comparable to guadipyr. On the other hand, the toxicity of compound 4-07 and guadipyr against honey bees was much lower than imidacloprid. The results indicated that the flexible chain on the nitrogen atom was the most crucial factor on honey bee toxicity, which existed in both neonicotinoids and guadipyr series.",2018,10.1039/c7ra11454k,8,,0,0.0,,1.0,,1.0,,,0.0,1.0,,0.0,,,,,,
"Determination of acute lethal doses (LD50 and LC50) of imidacloprid for the native bee Melipona scutellaris Latreille, 1811 (Hymenoptera: Apidae)",920,JOUR,"['Costa, L.M.', 'Grella, T.C.', 'Barbosa, R.A.', 'Malaspina, O.', 'Nocelli, R.C.F.']",Sociobiology,"The bee species Melipona scutellaris Latreille, 1811 (Hymenoptera: Apidae) is native to Brazil and, stingless. In Brazil, stingless bees are responsible for 40% to 90% of tree species pollination, depending on the considered ecosystem. However, their survival has been threatened since the country has been standing out as a big consumer of pesticides. Many of the pesticides used are considered toxic to bees, including imidacloprid. Although the bees are not the target of these substances, they are highly vulnerable to contamination. Thereby, the objective of this study was to establish the mean lethal dose (LD50) and the mean lethal concentration (LC50) of imidacloprid for the M. Scutellaris. In order to carry out this experiment, bees were collected and the test was performed according to OECD's protocol (1998a, 1998b), developed for A. mellifera. For the determination of LD50 and LC50, data was analyzed through the Probit method. The topical LD50 established in this study was 2.41 ng/bee for 24 hours and 1.29 ng/bee for 48 hours. The oral LC50 was 2.01 ng i.a./μL for 24 hours and 0.81 ng i.a./μL for 48 hours. Thus, it is important to establish management methods which take this higher susceptibility into account to protect native species.",2015,10.13102/sociobiology.v62i4.792,62,,0,,0.0,1.0,,1.0,,,,,,,0.0,0.0,,,,
Detrimental effects of clothianidin on foraging and dance communication in honey bees,690,JOUR,"['Tison, L.', 'Duer, A.', 'Púčiková, V.', 'Greggers, U.', 'Menzel, R.']",PLoS ONE,"Ongoing losses of pollinators are of significant international concern because of the essential role they have in our ecosystem, agriculture, and economy. Both chemical and non-chemical stressors have been implicated as possible contributors to their decline, but the increasing use of neonicotinoid insecticides has recently emerged as particularly concerning. In this study, honey bees were exposed orally to sublethal doses of the neonicotinoid clothianidin in the field in order to assess its effects on the foraging behavior, homing success, and dance communication. The foraging span and foraging activity at the contaminated feeder decreased significantly due to chronic exposure at field-realistic concentrations. Electrostatic field of dancing bees was measured and it was revealed that the number of waggle runs, the fanning time and the number of stop signals were significantly lower in the exposed colony. No difference was found in the homing success and the flight duration between control and treated bees released at a novel location within the explored area. However, a negative effect of the ambient temperature, and an influence of the location of the trained feeder was found. Finally, the residues of clothianidin accumulated in the abdomens of exposed foraging bees over time. These results show the adverse effects of a chronic exposure to sublethal doses of clothianidin on foraging and dance communication in honey bees. © 2020 Tison et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2020,10.1371/journal.pone.0241134,15,,0,1.0,1.0,,0.0,,,,,,,1.0,0.0,,,,,
Detrimental interactions of neonicotinoid pesticide exposure and bumblebee immunity,290,JOUR,"['Czerwinski, MA', 'Sadd, B']",JOURNAL OF EXPERIMENTAL ZOOLOGY PART A-ECOLOGICAL AND INTEGRATIVE PHYSIOLOGY,"Pesticides are well known to have a number of ecological effects. However, it is only now becoming understood that sublethal exposures may have effects on nontarget insects of conservation concern through interactions with immunity, thus increasing detrimental impacts in the presence of pathogens. Pesticides and pathogens are suggested to have played a role in recent declines of several wild bee pollinators. Compromised immunity from exposure to widely used neonicotinoids has been demonstrated in honeybees, but further research on interactions between neonicotinoids and immunity in other important bees is lacking. In this study, adult workers of the bumblebee Bombus impatiens received 6-day pulses of either low (0.7 ppb) or high (7 ppb) field realistic doses of the neonicotinoid imidacloprid prior to assaying immunity and survival following a nonpathogenic immune challenge. High-dose imidacloprid exposure reduces constitutive levels of phenoloxidase, an enzyme involved in melanization. Hemolymph antimicrobial activity initially increases in all groups following an immune challenge, but while heightened activity is maintained in unexposed and low imidacloprid dose groups, it is not maintained in the high exposure dose bees, even though exposure had ceased 6 days prior. Additionally, imidacloprid exposure followed by an immune challenge significantly decreased survival probability relative to control bees and those only immune challenged or imidacloprid exposed. A temporal lag for immune modulation and combinatorial effects on survival suggest that resource-based trade-offs may, in part, contribute to the detrimental interactions. These interactions could have health consequences for pollinators facing multiple stresses of sublethal neonicotinoid exposure and pathogens.",2017,10.1002/jez.2087,327,,0,,0.0,,0.0,,,0.0,0.0,0.0,,,1.0,0.0,,,,
Dietary contamination with a neonicotinoid (Clothianidin) gradient triggers specific dysbiosis signatures of microbiota activity along the honeybee (apis mellifera) digestive tract,620,JOUR,"['Khoury, S.E.', 'Gauthier, J.', 'Bouslama, S.', 'Cheaib, B.', 'Giovenazzo, P.', 'Derome, N.']",Microorganisms,"Pesticides are increasing honeybee (Apis mellifera) death rates globally. Clothianidin neonicotinoid appears to impair the microbe–immunity axis. We conducted cage experiments on newly emerged bees that were 4–6 days old and used a 16S rRNA metataxonomic approach to measure the impact of three sublethal clothianidin concentrations (0.1, 1 and 10 ppb) on survival, sucrose syrup consumption and gut microbiota community structure. Exposure to clothianidin significantly increased mortality in the three concentrations compared to controls. Interestingly, the lowest clothianidin concentration was associated with the highest mortality, and the medium concentration with the highest food intake. Exposure to clothianidin induced significant variation in the taxonomic distribution of gut microbiota activity. Co-abundance network analysis revealed local dysbiosis signatures specific to each gut section (midgut, ileum and rectum) were driven by specific taxa. Our findings confirm that exposure to clothianidin triggers a reshuffling of beneficial strains and/or potentially pathogenic taxa within the gut, suggesting a honeybee’s symbiotic defense systems’ disruption, such as resistance to microbial colonization. This study highlights the role of weak transcriptional activity taxa in maintaining a stable honeybee gut microbiota. Finally, the early detection of gut dysbiosis in honeybees is a promising biomarker in hive management for assessing the impact exposure to sublethal xenobiotics. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,10.3390/microorganisms9112283,9,,0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,1.0,,,,,
"Differential Expression Characterisation of the Heat Shock Proteins DnaJB6, DnaJshv, DnaJB13, and DnaJB14 in Apis cerana cerana Under Various Stress Conditions",333,JOUR,"['Li, GL', 'Zhang, SX', 'Wang, HF', 'Liang, L', 'Liu, ZG', 'Wang, Y', 'Xu, BH', 'Zhao, H']",FRONTIERS IN ECOLOGY AND EVOLUTION,"As key pollinators, bees are frequently exposed to multiple environmental stresses and have developed crucial mechanisms by which they adapt to these stressors. However, the molecular bases mediated at the gene level remain to be discovered. Here, we found four heat shock protein DnaJB subfamily genes, DnaJB6, DnaJshv, DnaJB13, and DnaJB14, from Apis cerana cerana, that all have J domains in their protein sequences. The expression levels of DnaJB6 and DnaJshv were upregulated by different degrees of heat stress, and the transcript level of DnaJB14 was gradually upregulated as the degree of heat stress increased, while the mRNA level of DnaJB13 was downregulated at multiple time points during heat stress treatment. The mRNA levels of all four DnaJBs were upregulated by cold and UV stress. In addition, the expression levels of DnaJB6, DnaJshv and DnaJB13 were reduced under abamectin, imidacloprid, cypermethrin, bifenthrin, spirodiclofen, and methomyl stresses. The transcript level of DnaJB14 was decreased by imidacloprid, cypermethrin, spirodiclofen, and methomyl exposure but increased by abamectin and bifenthrin exposure. These results indicate that the demand of A. cerana cerana for these four DnaJBs differs under various stress conditions. To further explore the role of DnaJBs in the stress response, we successfully silenced DnaJshv and DnaJB14. The content of protein carbonyl was increased, while the content of VC, the enzymatic activities of CAT, GST, and SOD, the mRNA levels of many antioxidant-related genes, and the total antioxidant capacity were reduced after knockdown of DnaJshv and DnaJB14 in A. cerana cerana. These results indicate that silencing DnaJshv and DnaJB14 increases oxidative damage and decreases the antioxidant ability of A. cerana cerana. Taken together, our results demonstrate that DnaJB6, DnaJshv, DnaJB13, and DnaJB14 are differentially expressed under stress conditions and play crucial roles in response to various stressors, possibly through the antioxidant signalling pathway. These findings will be conducive to understanding the molecular basis of bee responses to environmental stresses and are beneficial for improving bee protection.",2022,10.3389/fevo.2022.873791,10,,0,0.0,,,,0.0,0.0,0.0,1.0,1.0,,0.0,1.0,,,,,
"Differential Production of Nitric Oxide and Hydrogen Peroxide among Drosophila melanogaster, Apis mellifera, and Mamestra brassicae Immune-Activated Hemocytes after Exposure to Imidacloprid and Amitraz",296,JOUR,"['Sukkar, D', 'Laval-Gilly, P', 'Bonnefoy, A', 'Malladi, S', 'Azoury, S', 'Kanso, A', 'Falla-Angel, J']",INSECTS,"Simple Summary Pesticide exposure is a risk factor affecting insect immune response and may participate in honeybee colony deaths. Changes in the immune response may hinder insects more susceptible to diseases and increase the risk of pathogen infection and pest resistance. We found that imidacloprid and amitraz alter the oxidative response of insect hemocytes at different concentrations of the immune stimulator, zymosan A. There is a differential effect of imidacloprid and amitraz on hemocytes of insects from different orders and their effect on oxidative response in insects persists beyond the point of early contact with zymosan A. Invertebrates have a diverse immune system that responds differently to stressors such as pesticides and pathogens, which leads to different degrees of susceptibility. Honeybees are facing a phenomenon called colony collapse disorder which is attributed to several factors including pesticides and pathogens. We applied an in vitro approach to assess the response of immune-activated hemocytes from Apis mellifera, Drosophila melanogaster and Mamestra brassicae after exposure to imidacloprid and amitraz. Hemocytes were exposed to the pesticides in single and co-exposures using zymosan A for immune activation. We measured the effect of these exposures on cell viability, nitric oxide (NO) production from 15 to 120 min and on extracellular hydrogen peroxide (H2O2) production after 3 h to assess potential alterations in the oxidative response. Our results indicate that NO and H2O2 production is more altered in honeybee hemocytes compared to D. melanogaster and M. brassicae cell lines. There is also a differential production at different time points after pesticide exposure between these insect species as contrasting effects were evident with the oxidative responses in hemocytes. The results imply that imidacloprid and amitraz act differently on the immune response among insect orders and may render honeybee colonies more susceptible to infection and pests.",2023,10.3390/insects14020174,14,,0,,0.0,0.0,,,,0.0,0.0,0.0,,,1.0,,,,,
Differential physiological effects of neonicotinoid insecticides on honey bees: A comparison between Apis mellifera and Apis cerana,846,JOUR,"['Li, Z.', 'Li, M.', 'He, J.', 'Zhao, X.', 'Chaimanee, V.', 'Huang, W.-F.', 'Nie, H.', 'Zhao, Y.', 'Su, S.']",Pesticide Biochemistry and Physiology,"Acute toxicities (LD50s) of imidacloprid and clothianidin to Apis mellifera and A. cerana were investigated. Changing patterns of immune-related gene expressions and the activities of four enzymes between the two bee species were compared and analyzed after exposure to sublethal doses of insecticides. Results indicated that A. cerana was more sensitive to imidacloprid and clothianidin than A. mellifera. The acute oral LD50 values of imidacloprid and clothianidin for A. mellifera were 8.6 and 2.0 ng/bee, respectively, whereas the corresponding values for A. cerana were 2.7 and 0.5 ng/bee. The two bee species possessed distinct abilities to mount innate immune response against neonicotinoids. After 48 h of imidacloprid treatment, carboxylesterase (CCE), prophenol oxidase (PPO), and acetylcholinesterase (AChE) activities were significantly downregulated in A. mellifera but were upregulated in A. cerana. Glutathione-S-transferase (GST) activity was significantly elevated in A. mellifera at 48 h after exposure to imidacloprid, but no significant change was observed in A. cerana. AChE was downregulated in both bee species at three different time points during clothianidin exposure, and GST activities were upregulated in both species exposed to clothianidin. Different patterns of immune-related gene expression and enzymatic activities implied distinct detoxification and immune responses of A. cerana and A. mellifera to imidacloprid and clothianidin. © 2017 Elsevier Inc.",2017,10.1016/j.pestbp.2017.06.010,140,,0,0.0,,,1.0,,,1.0,1.0,1.0,,0.0,1.0,,,,,
